Region code,Region,Year,Gross enrollement ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
646,Rwanda,2014,134.9061,137.96820000000002,41.5979,37.9856,6.9385,8.358,2399.44,587.069,77.512
646,Rwanda,2015,134.7299,136.2673,38.874399999999994,35.81759999999999,6.966200000000001,8.966700000000001,2450.71,567.838,80.335
646,Rwanda,2017,134.09640000000002,132.7576,40.29570000000001,35.943999999999996,7.1783,8.1138,2540.3700000000003,610.972,80.773
659,Saint Kitts and Nevis,2005,0,0,0,0,0,0,6.35,3.9389999999999996,0
659,Saint Kitts and Nevis,2008,0,0,0,0,0,0,6.474,4.396,0.8590000000000001
659,Saint Kitts and Nevis,2010,0,0,0,0,0,0,6.255,4.309,0
659,Saint Kitts and Nevis,2014,0,0,0,0,0,0,5.533,4.37,3.4109999999999996
659,Saint Kitts and Nevis,2015,0,0,0,0,0,0,5.466,4.318,3.508
659,Saint Kitts and Nevis,2016,0,0,0,0,0,0,5.452,4.175,0
660,Anguilla,2005,0,0,0,0,0,0,1.4489999999999998,1.024,0.033
660,Anguilla,2008,0,0,0,0,0,0,1.61,1.008,0.054000000000000006
660,Anguilla,2010,0,0,0,0,0,0,1.62,1.045,0
660,Anguilla,2011,0,0,0,0,0,0,1.6460000000000001,1.059,0
662,Saint Lucia,2005,105.14529999999999,100.456,84.04460000000002,71.4762,19.008,6.992,23.573,13.597,2.197
662,Saint Lucia,2007,103.3248,98.1139,92.7504,83.4705,12.039299999999999,5.1652,22.028,15.145999999999999,1.438
662,Saint Lucia,2010,0,0,94.1149,95.2275,17.982399999999995,6.969,19.482999999999997,16.017000000000003,1.9729999999999999
662,Saint Lucia,2014,0,0,87.42720000000001,87.9685,22.8072,10.9207,17.285999999999998,13.566,2.8299999999999996
662,Saint Lucia,2015,0,0,87.80229999999999,88.60879999999999,21.8844,11.5051,16.822,13.215,2.7880000000000003
662,Saint Lucia,2017,0,0,88.4398,87.91720000000002,26.806900000000002,13.3869,16.054000000000002,12.216999999999999,3.249
670,Saint Vincent & Grenadines,2005,123.8869,112.3178,99.5391,79.5389,0,0,17.858,9.78,0
670,Saint Vincent & Grenadines,2010,108.7833,101.20620000000001,108.82469999999999,106.2593,0,0,14.435,11.426,0
670,Saint Vincent & Grenadines,2014,106.35799999999999,103.04320000000001,103.15509999999999,106.18249999999999,0,0,13.427,10.342,0
670,Saint Vincent & Grenadines,2015,105.87049999999999,103.17739999999999,104.96440000000001,107.8291,0,0,13.362000000000002,10.286,0
670,Saint Vincent & Grenadines,2017,103.8317,101.93110000000001,106.87239999999998,111.72829999999999,0,0,13.026,10.113,0
674,San Marino,2000,0,0,0,0,0,0,1.2489999999999999,0.988,0.9420000000000001
674,San Marino,2004,0,0,0,0,0,0,1.4449999999999998,0,0
674,San Marino,2010,88.7755,100.63369999999999,98.1691,96.3317,77.30499999999999,52.973,1.577,2.3339999999999996,0.937
674,San Marino,2012,93.85969999999999,92.6452,95.93700000000001,93.4929,69.8864,50.4648,1.574,2.407,0.8720000000000001
678,Sao Tome and Principe,2005,128.9775,123.9769,43.800999999999995,41.325300000000006,0,0,30.467999999999996,8.091,0
678,Sao Tome and Principe,2010,118.2609,117.1186,52.028000000000006,51.0994,4.156,4.2978,34.116,10.097,0.766
678,Sao Tome and Principe,2014,109.1346,104.6902,77.82499999999999,71.03460000000001,8.8262,10.199,34.493,19.386,1.6800000000000002
